City_ID,City,Cloudiness,Country,Datetime,Humidity,Lat,Lng,Max Temp,Wind Speed
0,bredasdorp,100,ZA,1639906515,64,-34.5322,20.0403,25.71,3.6
1,hay river,75,CA,1639906516,76,60.8156,-115.7999,-26.01,2.06
2,islahiye,100,TR,1639906516,95,37.025,36.6306,7.88,1.29
3,busselton,0,AU,1639906517,50,-33.65,115.3333,27.27,5.99
4,port macquarie,97,AU,1639906518,84,-31.4333,152.9167,25.98,6.54
5,ushuaia,40,AR,1639906519,52,-54.8,-68.3,5.81,16.46
6,hobart,75,AU,1639906227,57,-42.8794,147.3294,13.92,0.45
7,east london,0,ZA,1639906520,60,-33.0153,27.9116,24.52,8.23
8,urusha,100,RU,1639906521,100,54.05,122.9,-23.75,0.92
9,segou,10,ML,1639906522,11,13.4317,-6.2157,28.8,7.53
10,lompoc,1,US,1639906523,86,34.6391,-120.4579,11.07,1.54
11,vardo,100,NO,1639906523,78,70.3705,31.1107,-2.47,7.88
12,nikolskoye,100,RU,1639906524,93,59.7035,30.7861,-0.34,4.4
13,port elizabeth,0,ZA,1639906525,60,-33.918,25.5701,30.05,5.14
14,torbay,75,CA,1639906526,75,47.6666,-52.7314,-4.68,10.8
15,thompson,90,CA,1639906526,77,55.7435,-97.8558,-23.91,2.57
16,rikitea,100,PF,1639906527,76,-23.1203,-134.9692,24.61,6.13
17,barrow,75,US,1639906528,77,71.2906,-156.7887,-20.99,4.12
18,san cristobal,99,VE,1639906529,90,7.7669,-72.225,19.53,0.99
19,zheleznodorozhnyy,100,RU,1639906459,100,55.7503,38.0042,-0.71,2.72
20,gat,1,IL,1639906530,40,31.61,34.7642,17.1,8.35
21,punta arenas,75,CL,1639906328,57,-53.15,-70.9167,7.06,6.69
22,bachaquero,94,VE,1639906531,79,9.9694,-71.1494,24.93,3.29
23,leningradskiy,100,RU,1639906532,94,69.3833,178.4167,-21.6,7.98
24,bethel,90,US,1639906533,91,41.3712,-73.414,5.32,2.06
25,vaini,20,TO,1639906534,94,-21.2,-175.2,27.09,2.57
26,atuona,7,PF,1639906535,74,-9.8,-139.0333,25.31,6.36
27,vila,43,PT,1639906536,77,42.0304,-8.1588,4.28,2.05
28,kodiak,82,US,1639906359,80,57.79,-152.4072,-0.51,3.53
29,alice springs,30,AU,1639906537,12,-23.7,133.8833,39.75,7.2
30,bulnes,0,CL,1639906538,71,-36.7423,-72.2985,12.49,2.65
31,ilulissat,99,GL,1639906538,64,69.2167,-51.1,-0.99,4.12
32,nanortalik,100,GL,1639906539,77,60.1432,-45.2371,2.79,9.09
34,hilo,90,US,1639906541,46,19.7297,-155.09,21.55,4.63
35,butaritari,73,KI,1639906541,80,3.0707,172.7902,27.73,6.7
36,coquimbo,90,CL,1639906286,94,-29.9533,-71.3436,14.85,3.09
37,baihar,0,IN,1639906543,12,22.1,80.55,21.88,2.63
